epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,113.234,0.69417,0.77743,1,0.52673,0.00333256,0.00333256,0.00333256
2,215.805,0.59454,0.78553,1,0.49795,0.00644592,0.00644592,0.00644592
3,313.626,0.57694,0.78744,1,0.49137,0.00933928,0.00933928,0.00933928
4,407.831,0.56307,0.79704,1,0.47004,0.00901,0.00901,0.00901
5,503.965,0.54335,0.8056,1,0.45197,0.00868,0.00868,0.00868
6,600.697,0.53001,0.80791,1,0.44611,0.00835,0.00835,0.00835
7,697.127,0.51647,0.81063,1,0.42948,0.00802,0.00802,0.00802
8,789.068,0.50761,0.81341,1,0.42342,0.00769,0.00769,0.00769
9,880.113,0.50045,0.81832,1,0.41212,0.00736,0.00736,0.00736
10,971.492,0.48941,0.82868,1,0.39465,0.00703,0.00703,0.00703
11,1063.31,0.48011,0.83481,1,0.38422,0.0067,0.0067,0.0067
12,1159.96,0.46993,0.83972,1,0.37441,0.00637,0.00637,0.00637
13,1256.52,0.46169,0.84626,1,0.36559,0.00604,0.00604,0.00604
14,1353.08,0.45014,0.8499,1,0.35946,0.00571,0.00571,0.00571
15,1445.35,0.44419,0.85436,1,0.35322,0.00538,0.00538,0.00538
16,1536.28,0.42951,0.85702,1,0.34714,0.00505,0.00505,0.00505
17,1627.16,0.42249,0.86003,1,0.34222,0.00472,0.00472,0.00472
18,1719.02,0.40888,0.86147,1,0.3372,0.00439,0.00439,0.00439
19,1814.71,0.39785,0.86379,1,0.33274,0.00406,0.00406,0.00406
20,1911.83,0.38816,0.86726,1,0.32744,0.00373,0.00373,0.00373
21,2009.21,0.37864,0.87032,1,0.32153,0.0034,0.0034,0.0034
22,2105.75,0.36889,0.8735,1,0.31473,0.00307,0.00307,0.00307
23,2202.57,0.35706,0.87645,1,0.30847,0.00274,0.00274,0.00274
24,2299.57,0.34231,0.87963,1,0.30138,0.00241,0.00241,0.00241
25,2397.13,0.33457,0.88409,1,0.29296,0.00208,0.00208,0.00208
26,2494.05,0.32037,0.88843,1,0.28449,0.00175,0.00175,0.00175
27,2591.41,0.30516,0.89282,1,0.27449,0.00142,0.00142,0.00142
28,2688.43,0.29888,0.89606,1,0.26451,0.00109,0.00109,0.00109
29,2785.85,0.28379,0.90046,1,0.25495,0.00076,0.00076,0.00076
30,2882.85,0.27202,0.90601,1,0.24357,0.00043,0.00043,0.00043
